FECHA (YYMMDD);HORA (HHMM);;
040124;0200;0,569754;
040124;0300;0,512383;
040124;0400;0,710399;
040124;0500;0,322711;
040124;0600;0,215745;
040124;0700;0,420848;
040124;0800;0,617085;
040124;0900;1,09531;
040124;1000;1,05188;
040124;1100;1,21091;
040124;1200;1,33429;
040124;1300;1,96663;
040124;1400;1,72901;
040124;1500;1,97883;
040124;1600;1,91907;
040124;1700;2,33057;
040124;1800;2,32301;
040124;1900;1,75318;
040124;2000;1,02071;
040124;2100;0,413878;
040124;2200;0,331557;
040124;2300;0,24469;
040125;0000;0,381622;
040125;0100;0,436147;
040125;0200;0,43335;
040125;0300;0,328007;
040125;0400;0,364477;
040125;0500;0,383904;
040125;0600;0,343224;
040125;0700;0,43371;
040125;0800;0,834496;
040125;0900;1,06506;
040125;1000;1,27781;
040125;1100;1,4228;
040125;1200;1,92932;
040125;1300;1,63271;
040125;1400;1,50575;
040125;1500;1,63765;
040125;1600;1,14834;
040125;1700;2,3878;
040125;1800;2,30903;
040125;1900;1,64459;
040125;2000;1,2521;
040125;2100;0,663881;
040125;2200;0,46385;
040125;2300;0,357329;
040126;0000;0,294372;
040126;0100;0,264998;
040126;0200;0,45587;
040126;0300;0,170741;
040126;0400;0,544393;
040126;0500;0,396101;
040126;0600;0,0591949;
040126;0700;0,806576;
040126;0800;0,678033;
040126;0900;0,89524;
040126;1000;0,973763;
040126;1100;1,24857;
040126;1200;1,56876;
040126;1300;1,77249;
040126;1400;1,30296;
040126;1500;1,43923;
040126;1600;1,68977;
040126;1700;2,25069;
040126;1800;2,21972;
040126;1900;1,58375;
040126;2000;1,00885;
040126;2100;0,635032;
040126;2200;0,482362;
040126;2300;0,40009;
040127;0000;0,298395;
040127;0100;0,727983;
040127;0200;0,132806;
040127;0300;0,402969;
040127;0400;0,0877415;
040127;0500;0,211424;
040127;0600;0,841756;
040127;0700;0,519256;
040127;0800;1,17103;
040127;0900;0,718442;
040127;1000;0,663198;
040127;1100;1,04564;
040127;1200;1,41746;
040127;1300;2,05975;
040127;1400;1,56209;
040127;1500;1,59228;
040127;1600;1,67345;
040127;1700;2,54835;
040127;1800;2,26818;
040127;1900;2,03944;
040127;2000;0,856194;
