FECHA (YYMMDD);HORA (HHMM);;
040124;2100;20,675;
040124;2200;19,8416;
040124;2300;18,9666;
040125;0000;18,4167;
040125;0100;18;
040125;0200;17,4333;
040125;0300;17,0083;
040125;0400;16,4417;
040125;0500;16,05;
040125;0600;15,8083;
040125;0700;19,2166;
040125;0800;21,3;
040125;0900;23,725;
040125;1000;25,6833;
040125;1100;27,3583;
040125;1200;28,0583;
040125;1300;28,8833;
040125;1400;29,7333;
040125;1500;30,125;
040125;1600;30,3083;
040125;1700;29,05;
040125;1800;27,325;
040125;1900;24,9583;
040125;2000;22,675;
040125;2100;21,5333;
040125;2200;20,775;
040125;2300;20,0833;
040126;0000;19,2166;
040126;0100;18,7333;
040126;0200;18,2666;
040126;0300;17,875;
040126;0400;17,2666;
040126;0500;16,8333;
040126;0600;16,8666;
040126;0700;19,5833;
040126;0800;22,0417;
040126;0900;24,1166;
040126;1000;25,7083;
040126;1100;27,5166;
040126;1200;29,1917;
040126;1300;29,8583;
040126;1400;30,7083;
040126;1500;31,6;
040126;1600;31,2416;
040126;1700;29,85;
040126;1800;27,9333;
040126;1900;25,6666;
040126;2000;23,6833;
040126;2100;22,4166;
040126;2200;21,6667;
040126;2300;21;
040127;0000;20,4666;
040127;0100;19,95;
040127;0200;19,4583;
040127;0300;18,9333;
040127;0400;18,425;
040127;0500;17,9333;
040127;0600;17,7583;
040127;0700;20,125;
040127;0800;21,7416;
040127;0900;24,2583;
040127;1000;26,675;
040127;1100;28,5333;
040127;1200;29,9833;
040127;1300;30,6833;
040127;1400;31,1583;
040127;1500;31,5166;
040127;1600;31,775;
040127;1700;30,35;
040127;1800;28,975;
040127;1900;26,3;
040127;2000;23,9583;
040127;2100;22,7666;
040127;2200;22,1416;
040127;2300;21,5667;
040128;0000;20,6917;
040128;0100;19,7583;
040128;0200;19,15;
040128;0300;18,5166;
040128;0400;17,9583;
040128;0500;17,5166;
040128;0600;17,3;
040128;0700;20,775;
040128;0800;23,0333;
040128;0900;25,1416;
040128;1000;26,875;
040128;1100;28,5333;
040128;1200;29,9;
040128;1300;30,8916;
040128;1400;32,1166;
040128;1500;32,0833;
040128;1600;31,5667;
040128;1700;29,7916;
040128;1800;28,4167;
040128;1900;26,5333;
040128;2000;24,8916;
040128;2100;23,9583;
040128;2200;23,475;
040128;2300;22,8167;
040129;0000;21,775;
040129;0100;21,0583;
040129;0200;20,175;
040129;0300;19,2833;
040129;0400;18,525;
040129;0500;17,9083;
040129;0600;17,9083;
040129;0700;21,75;
040129;0800;23,2916;
040129;0900;24,925;
040129;1000;27,0916;
040129;1100;28,8;
040129;1200;30,4083;
040129;1300;31,175;
040129;1400;32,1749;
040129;1500;32,4583;
040129;1600;31,975;
040129;1700;30,2;
040129;1800;28,1917;
040129;1900;25,6333;
040129;2000;23,9333;
040129;2100;22,7916;
040129;2200;21,9;
040129;2300;21,3083;
040130;0000;20,6917;
040130;0100;20,025;
040130;0200;19,5083;
040130;0300;18,7083;
040130;0400;18,4083;
040130;0500;17,7916;
040130;0600;17,75;
040130;0700;19,75;
040130;0800;21,7583;
040130;0900;23,85;
040130;1000;25,5333;
040130;1100;27,3416;
040130;1200;28,2166;
040130;1300;29,2;
040130;1400;30,125;
040130;1500;30,3833;
040130;1600;29,7666;
040130;1700;28,5583;
040130;1800;26,4583;
040130;1900;23,6917;
040130;2000;21,975;
040130;2100;20,8333;
040130;2200;20,1666;
040130;2300;19,5083;
040131;0000;19,025;
040131;0100;18,4583;
040131;0200;17,8416;
040131;0300;17,4916;
040131;0400;17,0083;
040131;0500;16,4833;
040131;0600;16,3333;
040131;0700;19,7083;
040131;0800;20,8333;
040131;0900;22,8916;
040131;1000;24,9333;
040131;1100;26,4833;
040131;1200;27,825;
040131;1300;28,9333;
040131;1400;29,9;
040131;1500;30,1083;
040131;1600;30,4417;
040131;1700;29,8167;
040131;1800;28,1;
040131;1900;25,9666;
040131;2000;23,6416;
040131;2100;22,3167;
040131;2200;21,4916;
040131;2300;20,875;
040201;0000;19,9083;
040201;0100;18,9833;
040201;0200;18,3083;
040201;0300;17,7333;
040201;0400;17,225;
040201;0500;16,625;
040201;0600;16,5;
040201;0700;19,6583;
040201;0800;22,9166;
040201;0900;24,5833;
040201;1000;26,7333;
040201;1100;28,1833;
040201;1200;29,2666;
040201;1300;29,7833;
040201;1400;30,725;
040201;1500;30,65;
040201;1600;29,5333;
040201;1700;28,2083;
040201;1800;25,85;
040201;1900;23,5;
040201;2000;21,9333;
040201;2100;20,7333;
040201;2200;19,6583;
040201;2300;19,35;
040202;0000;18,3083;
040202;0100;17,6166;
040202;0200;17,3333;
040202;0300;16,8333;
040202;0400;16,1;
040202;0500;14,95;
040202;0600;14,5583;
040202;0700;16,1083;
040202;0800;18,75;
040202;0900;20,7666;
040202;1000;23,1416;
040202;1100;25,4583;
040202;1200;27,2333;
040202;1300;28,625;
040202;1400;29,025;
040202;1500;29,175;
040202;1600;28,075;
040202;1700;27,2583;
